week_end,tasks_completed,task_points
2022-06-05,0,0
2022-06-12,0,0
2022-06-19,0,0
2022-06-26,0,0
2022-07-03,0,0
2022-07-10,0,0
2022-07-17,0,0
2022-07-24,0,0
2022-07-31,0,0
2022-08-07,0,0
2022-08-14,0,0
2022-08-21,0,0
2022-08-28,0,0
2022-09-04,0,0
2022-09-11,0,0
2022-09-18,0,0
2022-09-25,0,0
2022-10-02,0,0
2022-10-09,1,0
2022-10-16,0,0
2022-10-23,3,8
2022-10-30,1,0
2022-11-06,0,0
2022-11-13,1,4
2022-11-20,0,0
2022-11-27,0,0
2022-12-04,0,0
2022-12-11,0,0
2022-12-18,1,2
2022-12-25,1,0
2023-01-01,3,0
2023-01-08,0,0
2023-01-15,1,3
