week_end,dev_contributions,dev_hours,ecoride_contributions,ecoride_hours,marketing_contributions,marketing_hours,ops_contributions,ops_hours
2024-01-21,12,26.15,0,0.00,0,0.00,2,0.66
2024-01-28,5,1.82,0,0.00,0,0.00,2,0.66
2024-02-04,5,4.16,0,0.00,0,0.00,2,1.83
2024-02-11,7,11.16,0,0.00,0,0.00,1,0.33
2024-02-18,16,15.31,0,0.00,0,0.00,3,1.83
2024-02-25,1,0.33,0,0.00,0,0.00,1,0.50
2024-03-03,11,14.82,0,0.00,0,0.00,5,3.32
2024-03-10,2,2.83,0,0.00,0,0.00,3,0.99
2024-03-17,1,0.33,0,0.00,0,0.00,0,0.00
2024-03-24,1,0.33,0,0.00,0,0.00,0,0.00
2024-03-31,2,0.66,0,0.00,0,0.00,2,0.66
2024-04-07,4,1.32,0,0.00,0,0.00,4,1.49
2024-04-14,7,8.16,0,0.00,0,0.00,6,3.82
2024-04-21,7,8.91,0,0.00,0,0.00,5,3.49
2024-04-28,8,13.83,0,0.00,0,0.00,8,2.64
2024-05-05,7,13.16,0,0.00,0,0.00,9,3.48
2024-05-12,9,9.66,0,0.00,1,2.00,11,7.15
2024-05-19,9,4.99,0,0.00,0,0.00,16,9.81
2024-05-26,3,0.99,0,0.00,0,0.00,5,3.16
2024-06-02,5,2.66,0,0.00,0,0.00,5,1.82
2024-06-09,16,14.13,0,0.00,0,0.00,5,1.82
2024-06-16,4,2.16,0,0.00,0,0.00,3,0.99
2024-06-23,4,1.49,0,0.00,0,0.00,7,3.15
2024-06-30,3,0.99,0,0.00,0,0.00,3,1.16
2024-07-07,2,0.66,0,0.00,0,0.00,0,0.00
2024-07-14,0,0.00,0,0.00,0,0.00,0,0.00
2024-07-21,1,0.33,0,0.00,0,0.00,0,0.00
2024-07-28,0,0.00,0,0.00,0,0.00,0,0.00
2024-08-04,7,8.66,0,0.00,0,0.00,5,2.66
2024-08-11,2,0.83,0,0.00,0,0.00,9,5.48
2024-08-18,7,7.49,0,0.00,2,0.66,9,3.65
2024-08-25,9,8.99,0,0.00,0,0.00,6,4.32
2024-09-01,5,4.33,0,0.00,0,0.00,5,1.92
2024-09-08,3,1.16,0,0.00,0,0.00,0,0.00
