week_end,value_creation_hours,governance_hours,operations_hours,nationcred_score
2022-06-05,0.09837788818199136,,,0.09837788818199136
2022-06-12,0.009280332755806215,,,0.009280332755806215
2022-06-19,0,,,0
2022-06-26,0,,,0
2022-07-03,0.034481575121509275,,,0.034481575121509275
2022-07-10,0.3413253295151218,,,0.3413253295151218
2022-07-17,0.03448090419018294,,,0.03448090419018294
2022-07-24,0,,,0
2022-07-31,0,,,0
2022-08-07,0,,,0
2022-08-14,0,,,0
2022-08-21,0,,,0
2022-08-28,0,,,0
2022-09-04,0,,,0
2022-09-11,0,,,0
2022-09-18,0,,,0
2022-09-25,0,,,0
2022-10-02,0,,,0
2022-10-09,0,,,0
2022-10-16,0,,,0
2022-10-23,0,,,0
2022-10-30,0,,,0
2022-11-06,0,,,0
2022-11-13,0,,,0
2022-11-20,0,,,0
2022-11-27,0,,,0
2022-12-04,0,,,0
2022-12-11,0,,,0
