week_end,value_creation_hours,governance_hours,operations_hours,nationcred_score,nationcred_score_accumulated,is_active
2022-06-05,0,0,0,0,0,false
2022-06-12,0,0,0,0,0,false
2022-06-19,0,0,0,0,0,false
2022-06-26,0,0,0,0,0,false
2022-07-03,0,0,0,0,0,false
2022-07-10,0,0,0,0,0,false
2022-07-17,0,0,0,0,0,false
2022-07-24,0,0,0,0,0,false
2022-07-31,0,0,0,0,0,false
2022-08-07,0,0,0,0,0,false
2022-08-14,0,0,0,0,0,false
2022-08-21,0,0,0,0,0,false
2022-08-28,0,0,0,0,0,false
2022-09-04,0,0,0,0,0,false
2022-09-11,0,0,0,0,0,false
2022-09-18,0,0,0,0,0,false
2022-09-25,0,0,0,0,0,false
2022-10-02,0,0,0,0,0,false
2022-10-09,0,0,0,0,0,false
2022-10-16,0,0,0,0,0,false
2022-10-23,0,0,0,0,0,false
2022-10-30,0,0,0,0,0,false
2022-11-06,0,0,0,0,0,false
2022-11-13,0,0,0,0,0,false
2022-11-20,0,0,0,0,0,false
2022-11-27,0,0,0,0,0,false
2022-12-04,0,0,0,0,0,false
2022-12-11,0,0,0,0,0,false
2022-12-18,0,0,0,0,0,false
2022-12-25,0,0,0,0,0,false
2023-01-01,0,0,0,0,0,false
2023-01-08,0,0,0,0,0,false
2023-01-15,0,0,0,0,0,false
2023-01-22,0,0,0,0,0,false
2023-01-29,0,0,0,0,0,false
2023-02-05,0,0,0,0,0,false
2023-02-12,0,0,0,0,0,false
2023-02-19,0,0,0,0,0,false
2023-02-26,0,0,0,0,0,false
2023-03-05,0,0,0,0,0,false
2023-03-12,0,0,0,0,0,false
2023-03-19,0,0,0,0,0,false
2023-03-26,0,0,0,0,0,false
2023-04-02,0,0,0,0,0,false
2023-04-09,0,0,0,0,0,false
2023-04-16,0,0,0,0,0,false
2023-04-23,0,0,0,0,0,false
2023-04-30,0,0,0,0,0,false
2023-05-07,0,0,0,0,0,false
2023-05-14,0,0,0,0,0,false
2023-05-21,0,0,0,0,0,false
2023-05-28,0,0,0,0,0,false
2023-06-04,0,0,0,0,0,false
2023-06-11,0,0,0,0,0,false
2023-06-18,0,0,0,0,0,false
2023-06-25,0,0,0,0,0,false
2023-07-02,0,0,0,0,0,false
2023-07-09,0,0,0,0,0,false
2023-07-16,0,0,0,0,0,false
2023-07-23,0,0,0,0,0,false
2023-07-30,0,0,0,0,0,false
2023-08-06,0,0,0,0,0,false
2023-08-13,0,0,0,0,0,false
2023-08-20,0,0,0,0,0,false
2023-08-27,0,0,0,0,0,false
2023-09-03,0,0,0,0,0,false
2023-09-10,0,0,0,0,0,false
2023-09-17,0,0,0,0,0,false
2023-09-24,0,0,0,0,0,false
2023-10-01,0,0,0,0,0,false
2023-10-08,0,0,0,0,0,false
2023-10-15,0,0,0,0,0,false
2023-10-22,0,0,0,0,0,false
2023-10-29,0,0,0,0,0,false
2023-11-05,0,0,0,0,0,false
2023-11-12,0,0,0,0,0,false
2023-11-19,0,0,0,0,0,false
2023-11-26,0,0,0,0,0,false
2023-12-03,0,0,0,0,0,false
2023-12-10,0,0,0,0,0,false
2023-12-17,0,0,0,0,0,false
2023-12-24,0,0,0,0,0,false
2023-12-31,0,0,0,0,0,false
2024-01-07,0.03,0,0,0.03,0.03,false
2024-01-14,0.28,0,0,0.28,0.31,false
2024-01-21,2.76,0,0,2.76,3.07,false
2024-01-28,18.41,0,0,18.41,21.48,false
2024-02-04,6.29,0,0,6.29,27.77,false
2024-02-11,4.71,0,0,4.71,32.48,true
2024-02-18,8.76,0,0,8.76,41.24,true
2024-02-25,7.33,0,0,7.33,48.57,true
2024-03-03,30.29,0,0,30.29,78.86,true
2024-03-10,4.66,0,0,4.66,83.52,true
2024-03-17,1.06,0,0,1.06,84.58,true
2024-03-24,0.67,0,0,0.67,85.25,true
2024-03-31,0.76,0,0,0.76,86.01,false
2024-04-07,1.36,0,0,1.36,87.37,false
2024-04-14,1.27,0,0,1.27,88.64,false
2024-04-21,2.02,0,0,2.02,90.66,false
2024-04-28,1.02,0,0,1.02,91.67,true
2024-05-05,1.97,0,0,1.97,93.65,true
2024-05-12,5.52,0.84,0,6.36,100.01,true
2024-05-19,1.53,0,0,1.53,101.53,true
2024-05-26,0.15,0,0,0.15,101.69,true
2024-06-02,0.02,0,0.33,0.35,102.03,false
2024-06-09,0,0,0,0,102.03,false
2024-06-16,0,0,0,0,102.03,false
2024-06-23,0,0,0,0,102.03,false
2024-06-30,0,0,0,0,102.03,false
2024-07-07,0,0,0,0,102.03,false
2024-07-14,0,0,0,0,102.03,false
2024-07-21,0,0,0,0,102.03,false
2024-07-28,0,0,0,0,102.03,false
2024-08-04,0,0,0,0,102.03,false
2024-08-11,0,0,0,0,102.03,false
2024-08-18,0,0,0,0,102.03,false
2024-08-25,0,0,0,0,102.03,false
2024-09-01,0,0,0,0,102.03,false
2024-09-08,0,0,0,0,102.03,false
2024-09-15,0,0,0,0,102.03,false
2024-09-22,0,0,0,0,102.03,false
2024-09-29,0,0,0,0,102.03,false
2024-10-06,0,0,0,0,102.03,false
2024-10-13,0,0,0,0,102.03,false
2024-10-20,0,0,0,0,102.03,false
2024-10-27,0,0,0,0,102.03,false
2024-11-03,0,0,0,0,102.03,false
2024-11-10,0,0,0,0,102.03,false
2024-11-17,0,0,0,0,102.03,false
2024-11-24,0,0,0,0,102.03,false
