week_end,value_creation_hours,governance_hours,operations_hours,nationcred_score,is_active
2022-06-05,0,0,0,0,false
2022-06-12,0,0,0,0,false
2022-06-19,0,0,0,0,false
2022-06-26,0,0,0,0,false
2022-07-03,0,0,0,0,false
2022-07-10,0,0,0,0,false
2022-07-17,0,0,0,0,false
2022-07-24,0,0,0,0,false
2022-07-31,0,0,0,0,false
2022-08-07,0,0,0,0,false
2022-08-14,0,0,0,0,false
2022-08-21,0,0,0,0,false
2022-08-28,0,0,0,0,false
2022-09-04,0,0,0,0,false
2022-09-11,0,0,0,0,false
2022-09-18,0,0,0,0,false
2022-09-25,0,0,0,0,false
2022-10-02,0,0,0,0,false
2022-10-09,0,0,0,0,false
2022-10-16,0,0,0,0,false
2022-10-23,0,0,0,0,false
2022-10-30,0,0,0,0,false
2022-11-06,0,0,0,0,false
2022-11-13,0,0,0,0,false
2022-11-20,0,0,0,0,false
2022-11-27,0,0,0,0,false
2022-12-04,0,0,0,0,false
2022-12-11,0,0,0,0,false
2022-12-18,0,0,0,0,false
2022-12-25,0,0,0,0,false
2023-01-01,0,0,0,0,false
2023-01-08,0,0,0,0,false
2023-01-15,0,0,0,0,false
2023-01-22,0,0,0,0,false
2023-01-29,0,0,0,0,false
2023-02-05,0,0,0,0,false
2023-02-12,0.04,0,0,0.04,false
2023-02-19,0.42,0,0,0.42,false
2023-02-26,0.05,0,0,0.05,false
2023-03-05,0.09,0,0,0.09,false
2023-03-12,0.13,0,0,0.13,false
2023-03-19,0.15,0,0,0.15,false
2023-03-26,0.03,0,0,0.03,false
2023-04-02,0.18,0,0,0.18,false
2023-04-09,0.08,0,0,0.08,false
2023-04-16,0.01,0,0,0.01,false
2023-04-23,0.02,0,0,0.02,false
2023-04-30,0.16,0,0,0.16,false
2023-05-07,1.22,0,0,1.22,false
2023-05-14,0.17,0,0,0.17,false
2023-05-21,0.48,0,0,0.48,false
2023-05-28,4.67,0,0,4.67,false
2023-06-04,0.48,0,0,0.48,false
2023-06-11,0.12,0,0,0.12,false
2023-06-18,0.66,0,0,0.66,false
2023-06-25,0.16,0,0,0.16,false
2023-07-02,0.32,0,0,0.32,false
2023-07-09,1.02,0,0,1.02,false
2023-07-16,6.73,0,0,6.73,false
2023-07-23,0.91,0,0,0.91,false
2023-07-30,0.5,0,0,0.5,false
2023-08-06,4.07,0,0,4.07,false
2023-08-13,0.71,0,0,0.71,false
2023-08-20,2.37,0,0,2.37,false
2023-08-27,0.35,0,0,0.35,false
2023-09-03,0.12,0,0,0.12,false
2023-09-10,0.5,0,0,0.5,false
2023-09-17,4.5,0,0,4.5,false
2023-09-24,4.46,0,0,4.46,false
2023-10-01,4.96,0,0,4.96,false
2023-10-08,7.42,0,0,7.42,true
2023-10-15,1.77,0,0,1.77,true
2023-10-22,2.94,0,0,2.94,true
2023-10-29,3.22,0,0,3.22,true
2023-11-05,1.23,0,0,1.23,true
2023-11-12,0.21,0,0,0.21,false
2023-11-19,0.06,0,0,0.06,false
2023-11-26,0.42,0,0,0.42,false
2023-12-03,2.28,0,0,2.28,false
2023-12-10,0.36,0,0,0.36,false
2023-12-17,1.3,0,0,1.3,false
2023-12-24,0.82,0,0,0.82,false
2023-12-31,1.62,0,0,1.62,false
2024-01-07,2.01,0,0,2.01,false
