week_end,value_creation_hours,governance_hours,operations_hours,nationcred_score,nationcred_score_accumulated,is_active
2022-06-05,0,0,0,0,0,false
2022-06-12,0,0,0,0,0,false
2022-06-19,0,0,0,0,0,false
2022-06-26,0,0,0,0,0,false
2022-07-03,0,0,0,0,0,false
2022-07-10,0,0,0,0,0,false
2022-07-17,0,0,0,0,0,false
2022-07-24,0,0,0,0,0,false
2022-07-31,0,0,0,0,0,false
2022-08-07,0,0,0,0,0,false
2022-08-14,0,0,0,0,0,false
2022-08-21,0,0,0,0,0,false
2022-08-28,0,0,0,0,0,false
2022-09-04,0,0,0,0,0,false
2022-09-11,0,0,0,0,0,false
2022-09-18,0,0,0,0,0,false
2022-09-25,0,0,0,0,0,false
2022-10-02,0,0,0,0,0,false
2022-10-09,0,0,0,0,0,false
2022-10-16,0,0,0,0,0,false
2022-10-23,0,0,0,0,0,false
2022-10-30,0,0,0,0,0,false
2022-11-06,0,0,0,0,0,false
2022-11-13,0,0,0,0,0,false
2022-11-20,0,0,0,0,0,false
2022-11-27,0,0,0,0,0,false
2022-12-04,0,0,0,0,0,false
2022-12-11,0,0,0,0,0,false
2022-12-18,0,0,0,0,0,false
2022-12-25,0.02,0,0,0.02,0.02,false
2023-01-01,0.18,0,0,0.18,0.2,false
2023-01-08,1.78,0,0,1.78,1.98,false
2023-01-15,5.75,0,0,5.75,7.73,false
2023-01-22,0.59,0,0,0.59,8.31,false
2023-01-29,0.12,0,0,0.12,8.43,false
2023-02-05,0.58,0,0,0.58,9.01,false
2023-02-12,1.88,0,0,1.88,10.88,false
2023-02-19,0.57,0,0,0.57,11.46,false
2023-02-26,0.06,0,0,0.06,11.51,false
2023-03-05,0.01,0,0,0.01,11.52,false
2023-03-12,0,0,0,0,11.52,false
2023-03-19,0.03,0,0,0.03,11.56,false
2023-03-26,0.33,0,0,0.33,11.88,false
2023-04-02,0.83,0,0,0.83,12.71,false
2023-04-09,0.96,0,0,0.96,13.67,false
2023-04-16,0.8,0,0,0.8,14.48,false
2023-04-23,2.55,0,0,2.55,17.03,false
2023-04-30,0.34,0,0,0.34,17.37,false
2023-05-07,0.88,0,0,0.88,18.25,false
2023-05-14,3.5,0,0,3.5,21.75,false
2023-05-21,0.36,0,0,0.36,22.11,false
2023-05-28,0.07,0,0,0.07,22.18,false
2023-06-04,0.34,0,0,0.34,22.52,false
2023-06-11,0.04,0,0,0.04,22.55,false
2023-06-18,0.03,0,0,0.03,22.58,false
2023-06-25,0.26,0,0,0.26,22.84,false
2023-07-02,0.03,0,0,0.03,22.88,false
2023-07-09,0.04,0,0,0.04,22.92,false
2023-07-16,0.39,0,0,0.39,23.31,false
2023-07-23,3.9,0,0,3.9,27.21,false
2023-07-30,0.39,0,0,0.39,27.61,false
2023-08-06,0.04,0,0,0.04,27.64,false
2023-08-13,0,0,0,0,27.65,false
2023-08-20,0,0,0,0,27.65,false
2023-08-27,0,0,0,0,27.65,false
2023-09-03,0.01,0,0,0.01,27.66,false
2023-09-10,0.09,0,0,0.09,27.74,false
2023-09-17,0.85,0.17,0,1.02,28.77,false
2023-09-24,0.09,0,0,0.09,28.85,false
2023-10-01,0.01,0,0,0.01,28.86,false
2023-10-08,0,0,0,0,28.86,false
2023-10-15,0.04,0,0,0.04,28.9,false
2023-10-22,0.36,0,0,0.36,29.26,false
2023-10-29,0.04,0,0,0.04,29.29,false
2023-11-05,0,0,0,0,29.3,false
2023-11-12,0,0,0,0,29.3,false
2023-11-19,0,0,0,0,29.3,false
2023-11-26,0,0,0,0,29.3,false
2023-12-03,0,0,0,0,29.3,false
2023-12-10,0,0,0,0,29.3,false
2023-12-17,0,0,0,0,29.3,false
2023-12-24,0,0,0,0,29.3,false
2023-12-31,0,0,0,0,29.3,false
2024-01-07,0,0,0,0,29.3,false
2024-01-14,0,0,0,0,29.3,false
2024-01-21,0,0,0,0,29.3,false
2024-01-28,0,0,0,0,29.3,false
2024-02-04,0,0,0,0,29.3,false
2024-02-11,0,0,0,0,29.3,false
2024-02-18,0,0,0,0,29.3,false
2024-02-25,0,0,0,0,29.3,false
2024-03-03,0,0,0,0,29.3,false
2024-03-10,0,0,0,0,29.3,false
2024-03-17,0,0,0,0,29.3,false
2024-03-24,0,0,0,0,29.3,false
2024-03-31,0,0,0,0,29.3,false
2024-04-07,0,0,0,0,29.3,false
2024-04-14,0,0,0,0,29.3,false
2024-04-21,0,0,0,0,29.3,false
2024-04-28,0,0,0,0,29.3,false
2024-05-05,0,0,0,0,29.3,false
2024-05-12,0,0,0,0,29.3,false
2024-05-19,0,0,0,0,29.3,false
2024-05-26,0,0,0,0,29.3,false
2024-06-02,0,0,0,0,29.3,false
2024-06-09,0,0,0,0,29.3,false
2024-06-16,0,0,0,0,29.3,false
2024-06-23,0,0,0,0,29.3,false
2024-06-30,0,0,0,0,29.3,false
2024-07-07,0,0,0,0,29.3,false
2024-07-14,0,0,0,0,29.3,false
2024-07-21,0,0,0,0,29.3,false
2024-07-28,0,0,0,0,29.3,false
2024-08-04,0,0,0,0,29.3,false
2024-08-11,0,0,0,0,29.3,false
2024-08-18,0,0,0,0,29.3,false
2024-08-25,0,0,0,0,29.3,false
2024-09-01,0,0,0,0,29.3,false
2024-09-08,0,0,0,0,29.3,false
2024-09-15,0,0,0,0,29.3,false
2024-09-22,0,0,0,0,29.3,false
2024-09-29,0,0,0,0,29.3,false
2024-10-06,0,0,0,0,29.3,false
2024-10-13,0,0,0,0,29.3,false
2024-10-20,0,0,0,0,29.3,false
2024-10-27,0,0,0,0,29.3,false
2024-11-03,0,0,0,0,29.3,false
2024-11-10,0,0,0,0,29.3,false
2024-11-17,0,0,0,0,29.3,false
2024-11-24,0,0,0,0,29.3,false
2024-12-01,0,0,0,0,29.3,false
2024-12-08,0,0,0,0,29.3,false
2024-12-15,0,0,0,0,29.3,false
2024-12-22,0,0,0,0,29.3,false
2024-12-29,0,0,0,0,29.3,false
2025-01-05,0,0,0,0,29.3,false
2025-01-12,0,0,0,0,29.3,false
2025-01-19,0,0,0,0,29.3,false
2025-01-26,0,0,0,0,29.3,false
2025-02-02,0,0,0,0,29.3,false
2025-02-09,0,0,0,0,29.3,false
2025-02-16,0,0,0,0,29.3,false
2025-02-23,0,0,0,0,29.3,false
2025-03-02,0,0,0,0,29.3,false
2025-03-09,0,0,0,0,29.3,false
2025-03-16,0,0,0,0,29.3,false
2025-03-23,0,0,0,0,29.3,false
2025-03-30,0,0,0,0,29.3,false
2025-04-06,0,0,0,0,29.3,false
2025-04-13,0,0,0,0,29.3,false
2025-04-20,0,0,0,0,29.3,false
2025-04-27,0,0,0,0,29.3,false
2025-05-04,0,0,0,0,29.3,false
2025-05-11,0,0,0,0,29.3,false
