week_end,value_creation_hours,governance_hours,operations_hours,nationcred_score,nationcred_score_accumulated,is_active
2022-06-05,3.43,0,0,3.43,3.43,false
2022-06-12,0.44,0,0,0.44,3.88,false
2022-06-19,0.15,0,0,0.15,4.03,false
2022-06-26,0.26,0,0,0.26,4.28,false
2022-07-03,2.41,0,0,2.41,6.69,false
2022-07-10,0.28,0,0,0.28,6.97,false
2022-07-17,0.03,0,0,0.03,7,false
2022-07-24,0.03,0,0,0.03,7.03,false
2022-07-31,0.27,0,0,0.27,7.3,false
2022-08-07,0.75,0.17,0,0.92,8.22,false
2022-08-14,0.14,0,0,0.14,8.36,false
2022-08-21,0.31,0,0,0.31,8.67,false
2022-08-28,0.36,0,0,0.36,9.04,false
2022-09-04,0.15,0,0,0.15,9.18,false
2022-09-11,0.58,0,0,0.58,9.76,false
2022-09-18,0.19,0,0,0.19,9.95,false
2022-09-25,0.33,0,0,0.33,10.28,false
2022-10-02,0.2,0,0,0.2,10.48,false
2022-10-09,1.47,0,0,1.47,11.95,false
2022-10-16,0.16,0,0,0.16,12.1,false
2022-10-23,0.1,0.17,0,0.27,12.38,false
2022-10-30,0.01,0,0,0.01,12.39,false
2022-11-06,0.02,0,0,0.02,12.41,false
2022-11-13,0.18,0,0,0.18,12.59,false
2022-11-20,0.04,0,0,0.04,12.63,false
2022-11-27,0.22,0,0,0.22,12.85,false
2022-12-04,0.04,0,0,0.04,12.89,false
2022-12-11,0.18,0,0,0.18,13.07,false
2022-12-18,0.04,0,0,0.04,13.11,false
2022-12-25,0.26,0,0,0.26,13.37,false
2023-01-01,2.54,0,0,2.54,15.91,false
2023-01-08,3.39,0,0,3.39,19.31,false
2023-01-15,0.52,0,0,0.52,19.82,false
2023-01-22,0.05,0,0,0.05,19.87,false
2023-01-29,0.01,0,0,0.01,19.88,false
2023-02-05,0,0.17,0,0.17,20.05,false
2023-02-12,0,0,0,0,20.05,false
2023-02-19,0,0,0,0,20.05,false
2023-02-26,0,0,0,0,20.05,false
2023-03-05,0,0,0,0,20.05,false
2023-03-12,0.01,0,0,0.01,20.06,false
2023-03-19,0.08,0,0,0.08,20.13,false
2023-03-26,0.01,0.17,0,0.18,20.31,false
2023-04-02,0.01,0,0,0.01,20.32,false
2023-04-09,0.11,0,0,0.11,20.44,false
2023-04-16,0.02,0,0,0.02,20.46,false
2023-04-23,0.07,0,0,0.07,20.53,false
2023-04-30,0.01,0,0,0.01,20.54,false
2023-05-07,0,0,0,0,20.54,false
2023-05-14,0.03,0,0,0.03,20.57,false
2023-05-21,0,0,0,0,20.57,false
2023-05-28,0,0,0,0,20.57,false
2023-06-04,0.02,0,0,0.02,20.58,false
2023-06-11,0,0,0,0,20.58,false
2023-06-18,0,0,0,0,20.58,false
2023-06-25,0,0,0,0,20.58,false
2023-07-02,0.01,0,0,0.01,20.59,false
2023-07-09,0.09,0,0,0.09,20.68,false
2023-07-16,0.03,0,0,0.03,20.72,false
2023-07-23,0.22,0,0,0.22,20.93,false
2023-07-30,0.02,0,0,0.02,20.96,false
2023-08-06,0,0,0,0,20.96,false
2023-08-13,0,0,0,0,20.96,false
2023-08-20,0,0,0,0,20.96,false
2023-08-27,0,0,0,0,20.96,false
2023-09-03,0,0,0,0,20.96,false
2023-09-10,0,0,0,0,20.96,false
2023-09-17,0,0,0,0,20.96,false
2023-09-24,0,0,0,0,20.96,false
2023-10-01,0,0,0,0,20.96,false
2023-10-08,0,0,0,0,20.96,false
2023-10-15,0,0,0,0,20.96,false
2023-10-22,0,0,0,0,20.96,false
2023-10-29,0,0,0,0,20.96,false
2023-11-05,0,0,0,0,20.96,false
2023-11-12,0,0,0,0,20.96,false
2023-11-19,0,0,0,0,20.96,false
2023-11-26,0,0,0,0,20.96,false
2023-12-03,0,0,0,0,20.96,false
2023-12-10,0,0.17,0,0.17,21.13,false
2023-12-17,0,0,0,0,21.13,false
2023-12-24,0,0,0,0,21.13,false
2023-12-31,0,0,0,0,21.13,false
2024-01-07,0,0,0,0,21.13,false
2024-01-14,0,0,0,0,21.13,false
2024-01-21,0,0,0,0,21.13,false
2024-01-28,0,0,0,0,21.13,false
2024-02-04,0,0,0,0,21.13,false
2024-02-11,0,0,0,0,21.13,false
2024-02-18,0,0,0,0,21.13,false
2024-02-25,0,0,0,0,21.13,false
2024-03-03,0,0,0,0,21.13,false
2024-03-10,0,0,0,0,21.13,false
2024-03-17,0,0,0,0,21.13,false
2024-03-24,0,0,0,0,21.13,false
2024-03-31,0,0,0,0,21.13,false
2024-04-07,0,0,0,0,21.13,false
2024-04-14,0,0,0,0,21.13,false
2024-04-21,0,0,0,0,21.13,false
2024-04-28,0,0,0,0,21.13,false
2024-05-05,0,0,0,0,21.13,false
2024-05-12,0,0,0,0,21.13,false
2024-05-19,0,0,0,0,21.13,false
2024-05-26,0,0,0,0,21.13,false
2024-06-02,0,0,0,0,21.13,false
2024-06-09,0,0,0,0,21.13,false
2024-06-16,0,0,0,0,21.13,false
2024-06-23,0,0,0,0,21.13,false
2024-06-30,0,0,0,0,21.13,false
2024-07-07,0,0,0,0,21.13,false
2024-07-14,0,0,0,0,21.13,false
2024-07-21,0,0,0,0,21.13,false
2024-07-28,0,0,0,0,21.13,false
2024-08-04,0,0,0,0,21.13,false
2024-08-11,0,0,0,0,21.13,false
2024-08-18,0,0,0,0,21.13,false
2024-08-25,0,0,0,0,21.13,false
2024-09-01,0,0,0,0,21.13,false
2024-09-08,0,0,0,0,21.13,false
2024-09-15,0,0,0,0,21.13,false
2024-09-22,0,0,0,0,21.13,false
2024-09-29,0,0,0,0,21.13,false
2024-10-06,0,0,0,0,21.13,false
2024-10-13,0,0,0,0,21.13,false
2024-10-20,0,0,0,0,21.13,false
2024-10-27,0,0,0,0,21.13,false
2024-11-03,0,0,0,0,21.13,false
2024-11-10,0,0,0,0,21.13,false
2024-11-17,0,0,0,0,21.13,false
2024-11-24,0,0,0,0,21.13,false
2024-12-01,0,0,0,0,21.13,false
2024-12-08,0,0,0,0,21.13,false
2024-12-15,0,0,0,0,21.13,false
