week_end,value_creation_hours,governance_hours,operations_hours,nationcred_score,is_active
2022-06-05,0.48,,,0.48,false
2022-06-12,0.09,,,0.09,false
2022-06-19,0.09,,,0.09,false
2022-06-26,0.79,,,0.79,false
2022-07-03,7.85,,,7.85,false
2022-07-10,0.88,,,0.88,false
2022-07-17,0.27,,,0.27,false
2022-07-24,0.08,,,0.08,false
2022-07-31,0.06,,,0.06,false
2022-08-07,0.17,,,0.17,false
2022-08-14,1.62,,,1.62,false
2022-08-21,0.18,,,0.18,false
2022-08-28,0.14,,,0.14,false
2022-09-04,0.31,,,0.31,false
2022-09-11,0.03,,,0.03,false
2022-09-18,0,,,0,false
2022-09-25,0,,,0,false
2022-10-02,0,,,0,false
2022-10-09,0.02,,,0.02,false
2022-10-16,0,,,0,false
2022-10-23,0.01,,,0.01,false
2022-10-30,0.07,,,0.07,false
2022-11-06,0.01,,,0.01,false
2022-11-13,0.04,,,0.04,false
2022-11-20,0,,,0,false
2022-11-27,0,,,0,false
2022-12-04,0,,,0,false
2022-12-11,0,,,0,false
2022-12-18,0,,,0,false
2022-12-25,0,,,0,false
2023-01-01,0,,,0,false
2023-01-08,0,,,0,false
2023-01-15,0,,,0,false
2023-01-22,0,,,0,false
2023-01-29,0,,,0,false
2023-02-05,0,,,0,false
2023-02-12,0,,,0,false
2023-02-19,0,,,0,false
2023-02-26,0,,,0,false
2023-03-05,0,,,0,false
2023-03-12,0,,,0,false
2023-03-19,0,,,0,false
2023-03-26,0,,,0,false
2023-04-02,0,,,0,false
2023-04-09,0,,,0,false
2023-04-16,0,,,0,false
2023-04-23,0,,,0,false
2023-04-30,0,,,0,false
2023-05-07,0,,,0,false
2023-05-14,0,,,0,false
2023-05-21,0,,,0,false
2023-05-28,0,,,0,false
2023-06-04,0,,,0,false
2023-06-11,0,,,0,false
2023-06-18,0,,,0,false
2023-06-25,0,,,0,false
2023-07-02,0,,,0,false
2023-07-09,0,,,0,false
2023-07-16,0,,,0,false
