week_end,value_creation_hours,governance_hours,operations_hours,nationcred_score
2022-06-05,33.49094542202055,,,33.49094542202055
2022-06-12,4.42217547725321,,,4.42217547725321
2022-06-19,8.920458690192211,,,8.920458690192211
2022-06-26,7.219086728465507,,,7.219086728465507
2022-07-03,55.29245454223187,,,55.29245454223187
2022-07-10,29.102347549611675,,,29.102347549611675
2022-07-17,39.264156470774395,,,39.264156470774395
2022-07-24,33.475270274000934,,,33.475270274000934
2022-07-31,33.66049535849462,,,33.66049535849462
2022-08-07,22.05092173638219,,,22.05092173638219
2022-08-14,29.52572636719532,,,29.52572636719532
2022-08-21,20.565761555677806,,,20.565761555677806
2022-08-28,46.077293559094834,,,46.077293559094834
2022-09-04,35.03931863586018,,,35.03931863586018
2022-09-11,43.26187929689273,,,43.26187929689273
2022-09-18,39.75393933900273,,,39.75393933900273
2022-09-25,49.58448517235719,,,49.58448517235719
2022-10-02,11.897130439455186,,,11.897130439455186
2022-10-09,14.918371687762441,,,14.918371687762441
2022-10-16,12.921748450839413,,,12.921748450839413
2022-10-23,27.21633037187383,,,27.21633037187383
2022-10-30,13.26950322241584,,,13.26950322241584
2022-11-06,12.006835338812149,,,12.006835338812149
2022-11-13,22.37957813477596,,,22.37957813477596
2022-11-20,6.803531835709978,,,6.803531835709978
2022-11-27,23.990407332379778,,,23.990407332379778
2022-12-04,7.858488902053141,,,7.858488902053141
2022-12-11,5.118310776256818,,,5.118310776256818
